created_at,entry_id,soil1,soil,temperature,humidity
2024-10-24T21:36:33+07:00,44559,26,41,24.1,96
2024-10-24T21:36:56+07:00,44560,24,41,24.1,96
2024-10-24T21:37:19+07:00,44561,25,40,24.1,96
2024-10-24T21:37:42+07:00,44562,25,41,24.1,96
2024-10-24T21:38:06+07:00,44563,26,40,24.1,96
2024-10-24T21:38:29+07:00,44564,25,40,24.1,96
2024-10-24T21:38:54+07:00,44565,25,40,24.1,96
2024-10-24T21:39:18+07:00,44566,26,41,24.1,96
2024-10-24T21:39:40+07:00,44567,25,41,24.1,97
2024-10-24T21:40:04+07:00,44568,25,41,24.1,97
2024-10-24T21:40:27+07:00,44569,24,41,24.1,97
2024-10-24T21:40:52+07:00,44570,24,40,24.1,97
2024-10-24T21:41:15+07:00,44571,25,40,24.1,97
2024-10-24T21:41:39+07:00,44572,25,42,24.1,97
2024-10-24T21:42:01+07:00,44573,25,43,24.1,97
2024-10-24T21:42:24+07:00,44574,26,41,24.1,97
2024-10-24T21:42:48+07:00,44575,25,40,24.1,97
2024-10-24T21:43:12+07:00,44576,25,42,23.8,97
2024-10-24T21:43:35+07:00,44577,26,41,23.8,97
2024-10-24T21:43:58+07:00,44578,25,39,23.8,97
2024-10-24T21:44:20+07:00,44579,27,41,23.8,97
2024-10-24T21:44:44+07:00,44580,25,39,23.8,97
2024-10-24T21:45:07+07:00,44581,25,41,23.8,97
2024-10-24T21:45:30+07:00,44582,25,40,23.8,97
2024-10-24T21:45:54+07:00,44583,25,42,23.8,97
2024-10-24T21:46:17+07:00,44584,25,40,23.8,97
2024-10-24T21:46:41+07:00,44585,24,42,23.8,97
2024-10-24T21:47:04+07:00,44586,26,41,23.8,97
2024-10-24T21:47:28+07:00,44587,26,42,23.8,97
2024-10-24T21:47:52+07:00,44588,25,40,23.8,97
2024-10-24T21:48:14+07:00,44589,25,41,23.8,97
2024-10-24T21:48:39+07:00,44590,25,40,23.8,97
2024-10-24T21:49:02+07:00,44591,26,40,23.8,97
2024-10-24T21:49:25+07:00,44592,25,41,23.8,97
2024-10-24T21:49:49+07:00,44593,25,40,23.8,97
2024-10-24T21:50:13+07:00,44594,25,42,23.8,97
2024-10-24T21:50:38+07:00,44595,26,41,23.8,97
2024-10-24T21:51:01+07:00,44596,25,41,23.8,97
2024-10-24T21:51:24+07:00,44597,25,39,23.8,97
2024-10-24T21:51:47+07:00,44598,25,39,23.8,97
2024-10-24T21:52:11+07:00,44599,26,42,23.8,97
2024-10-24T21:52:35+07:00,44600,25,42,23.8,97
2024-10-24T21:52:58+07:00,44601,26,40,23.8,98
2024-10-24T21:53:22+07:00,44602,24,39,23.8,98
2024-10-24T21:53:46+07:00,44603,26,41,23.8,98
2024-10-24T21:54:10+07:00,44604,26,41,23.8,98
2024-10-24T21:54:33+07:00,44605,25,41,23.8,98
2024-10-24T21:54:56+07:00,44606,25,40,23.8,98
2024-10-24T21:55:20+07:00,44607,25,41,23.8,98
2024-10-24T21:55:42+07:00,44608,25,42,23.8,97
2024-10-24T21:56:06+07:00,44609,26,39,23.8,97
2024-10-24T21:56:28+07:00,44610,25,40,23.8,97
2024-10-24T21:56:51+07:00,44611,25,41,23.8,97
2024-10-24T21:57:13+07:00,44612,25,40,23.9,97
2024-10-24T21:57:36+07:00,44613,26,40,24.1,97
2024-10-24T21:58:01+07:00,44614,24,41,24.1,97
2024-10-24T21:58:25+07:00,44615,26,41,24.1,97
2024-10-24T21:58:50+07:00,44616,23,41,24.1,98
2024-10-24T21:59:14+07:00,44617,25,40,24.1,98
